,Date,Favored Team,Underdog Team,Favored Spread,Predicted Outcome,Confidence,Vig,Over Under,Predicted Total,Over Under Vig,Over Under Bet To Take,Over Under Conf,Spread Bet To Take,Half Kelly,Quarter Kelly,Over Under H Kelly,Final Score,Spread Cover,Over Cover
485,01/29/2022,North Florida,Lipscomb,-2.0,North Florida Wins By 1.2,51.42%,-110,149.5,141.9,-110.0,Under 149.5,56.35%,Lipscomb +2.0,-1.%,-0.%,1.6%,74-77,1.0,0.0
486,01/29/2022,Alabama State,Bethune Cookman,-3.0,Alabama State Wins By 5.3,51.42%,-115,133.0,133.8,-110.0,Over 133.0,56.35%,Alabama State -3.0,-2.%,-1.%,1.6%,79-73,1.0,1.0
487,01/29/2022,Florida A&M,Alabama A&M,-2.0,Florida A&M Wins By 1.5,51.42%,-110,126.5,129.1,100.0,Over 126.5,54.06%,Alabama A&M +2.0,-1.%,-0.%,3.9%,65-60,0.0,0.0
488,01/29/2022,Charleston Southern,Hampton,-2.5,Charleston Southern Wins By 1.0,51.42%,-110,136.5,127.1,-115.0,Under 136.5,56.35%,Hampton +2.5,-1.%,-0.%,0.4%,74-78,1.0,0.0
489,01/24/2022,Kansas,Texas Tech,-7.5,Kansas Wins By 5.2,55.25%,-110,138.0,137.4,-110.0,Under 138.0,56.35%,Texas Tech +7.5,3.0%,1.5%,1.6%,94-91,1.0,0.0
490,01/24/2022,Florida,Mississippi,-4.0,Florida Wins By 4.6,50.35%,-110,128.0,132.0,-120.0,Over 128.0,54.06%,Florida -4.0,-2.%,-1.%,-0.%,54-70,0.0,0.0
491,01/24/2022,USC,Arizona State,-12.0,USC Wins By 12.0,51.42%,100,135.0,134.4,100.0,Under 135.0,56.35%,Arizona State +12.0,1.4%,0.7%,3.9%,78-56,0.0,1.0
492,01/24/2022,Murray State,Tennessee Tech,-17.5,Murray State Wins By 17.8,50.35%,-110,145.5,142.1,100.0,Under 145.5,56.35%,Murray State -17.5,-2.%,-1.%,3.9%,79-53,1.0,1.0
493,01/24/2022,San Diego State,UNLV,-10.5,San Diego State Wins By 7.3,55.25%,-110,126.5,122.8,-110.0,Under 126.5,56.35%,UNLV +10.5,3.0%,1.5%,1.6%,80-55,0.0,0.0
494,01/24/2022,Seton Hall,St. John's,-7.0,Seton Hall Wins By 8.0,55.25%,-110,150.5,150.6,-115.0,Over 150.5,56.35%,Seton Hall -7.0,3.0%,1.5%,0.4%,63-84,0.0,0.0
