,Date,Favored Team,Underdog Team,Favored Spread,Predicted Outcome,Confidence,Vig,Over Under,Predicted Total,Over Under Vig,Over Under Bet To Take,Over Under Conf,Spread Bet To Take,Half Kelly,Quarter Kelly,Over Under H Kelly,Final Score,Spread Cover,Over Cover
115,11/21/2021,Air Force,Bethune Cookman,-10.5,Air Force Wins By 4.7,57.32%,-105,,,,,,Bethune Cookman +10.5,6.3%,3.1%,,73-65,1.0,
116,11/21/2021,North Dakota,Tennessee Martin,-3.0,North Dakota Wins By 6.5,57.32%,-110,,,,,,North Dakota -3.0,5.2%,2.6%,,72-77,0.0,
117,11/21/2021,Denver,Houston Baptist,-5.0,Denver Wins By 7.9,57.32%,-110,,,,,,Denver -5.0,5.2%,2.6%,,74-61,1.0,
118,11/21/2021,Purdue,Villanova,-3.0,Purdue Wins By 3.4,55.25%,100,,,,,,Purdue -3.0,5.2%,2.6%,,80-74,1.0,
119,11/21/2021,Michigan,Arizona,-3.5,Michigan Wins By 2.5,55.25%,-110,,,,,,Arizona +3.5,3.0%,1.5%,,62-80,1.0,
120,11/21/2021,Tennessee,North Carolina,-3.0,Tennessee Wins By 3.9,55.25%,-105,,,,,,Tennessee -3.0,4.1%,2.1%,,89-72,1.0,
121,11/21/2021,Virginia Tech,Merrimack,-18.5,Virginia Tech Wins By 15.8,57.32%,-115,,,,,,Merrimack +18.5,4.1%,2.1%,,72-43,0.0,
122,11/21/2021,St. Bonaventure,Marquette,-3.0,St. Bonaventure Wins By 4.2,55.25%,-105,,,,,,St. Bonaventure -3.0,4.1%,2.1%,,70-54,1.0,
123,11/21/2021,Oklahoma,Utah State,-4.5,Oklahoma Wins By 2.1,55.25%,-105,,,,,,Utah State +4.5,4.1%,2.1%,,70-73,1.0,
124,11/21/2021,Florida State,Loyola Marymount,-7.0,Florida State Wins By 4.3,55.25%,-105,,,,,,Loyola Marymount +7.0,4.1%,2.1%,,73-45,0.0,
125,11/21/2021,Mississippi State,Morehead State,-14.0,Mississippi State Wins By 14.0,57.32%,-115,,,,,,Morehead State +14.0,4.1%,2.1%,,66-46,0.0,
126,11/21/2021,West Virginia,Clemson,-2.5,West Virginia Wins By 1.4,55.25%,-110,,,,,,Clemson +2.5,3.0%,1.5%,,66-59,0.0,
127,11/21/2021,Colorado State,Creighton,-3.5,Colorado State Wins By 2.8,55.25%,-115,,,,,,Creighton +3.5,1.9%,0.8%,,95-81,0.0,
128,11/21/2021,Mississippi,Boise State,-2.0,Boise State Wins By 1.7,55.25%,-105,,,,,,Boise State +2.0,4.1%,2.1%,,50-60,1.0,
129,11/21/2021,Wichita State,UNLV,-3.5,Wichita State Wins By 7.2,55.25%,-110,,,,,,Wichita State -3.5,3.0%,1.5%,,74-73,0.0,
130,11/21/2021,UAB,Alabama A&M,-25.5,UAB Wins By 20.7,50.35%,-105,,,,,,Alabama A&M +25.5,-0.%,-0.%,,86-41,0.0,
131,11/21/2021,Rhode Island,Boston College,-3.0,Rhode Island Wins By 2.1,55.25%,-105,,,,,,Boston College +3.0,4.1%,2.1%,,71-65,0.0,
132,11/21/2021,SMU,Missouri,-7.0,SMU Wins By 6.4,55.25%,-110,,,,,,Missouri +7.0,3.0%,1.5%,,75-80,1.0,
133,11/21/2021,North Carolina State,Texas Southern,-14.0,North Carolina State Wins By 11.4,51.42%,-105,,,,,,Texas Southern +14.0,0.2%,0.1%,,65-57,1.0,
134,11/21/2021,Utah,Tulsa,-5.5,Utah Wins By 2.7,55.25%,-110,,,,,,Tulsa +5.5,3.0%,1.5%,,72-58,0.0,
135,11/21/2021,Nebraska,Southern,-16.0,Nebraska Wins By 12.6,51.42%,-110,,,,,,Southern +16.0,-1.%,-0.%,,82-59,0.0,
136,11/21/2021,New Mexico State,Indiana State,-8.5,New Mexico State Wins By 4.5,55.25%,-115,,,,,,Indiana State +8.5,1.9%,0.8%,,80-66,0.0,
137,11/21/2021,Georgia State,High Point,-11.0,Georgia State Wins By 5.2,51.42%,-110,,,,,,High Point +11.0,-1.%,-0.%,,74-66,1.0,
138,11/21/2021,Davidson,East Carolina,-4.5,Davidson Wins By 2.3,55.25%,-115,,,,,,East Carolina +4.5,1.9%,0.8%,,76-67,0.0,
